State,Substate Region,12-17 Estimate,18-25 Estimate,26 or Older Estimate,18 or Older Estimate
Total United States,Total United States,12.56%,32.37%,10.52%,13.66%
Northeast,Northeast,12.89%,36.67%,11.53%,15.05%
Midwest,Midwest,12.54%,31.86%,9.70%,12.90%
South,South,11.41%,29.52%,8.72%,11.69%
West,West,14.20%,34.09%,13.35%,16.40%
Alabama,Alabama,9.54%,26.20%,6.62%,9.42%
Alabama,Region 1,10.32%,27.14%,6.84%,9.47%
Alabama,Region 2,9.59%,29.72%,7.18%,10.47%
Alabama,Region 3,7.93%,21.62%,5.77%,8.47%
Alabama,Region 4,9.72%,24.21%,6.22%,8.60%
Alaska,Alaska,19.05%,41.04%,19.96%,23.26%
Alaska,Anchorage,18.81%,39.99%,18.39%,21.83%
Alaska,Northern,19.19%,40.44%,23.49%,26.59%
Alaska,South Central,19.25%,42.80%,18.80%,22.21%
Alaska,Southeast,19.12%,*,21.79%,24.51%
Arizona,Arizona,12.56%,29.75%,9.58%,12.52%
Arizona,Central,12.43%,30.67%,10.10%,13.12%
Arizona,North,12.21%,*,8.15%,10.87%
Arizona,South,13.02%,28.57%,9.11%,11.98%
Arizona,South A,12.75%,*,9.74%,12.76%
Arizona,South B,13.30%,*,8.34%,11.03%
Arkansas,Arkansas,11.47%,27.81%,8.80%,11.53%
Arkansas,Catchment Area 1,11.77%,27.12%,8.92%,11.83%
Arkansas,Catchment Area 2,9.95%,22.73%,6.63%,8.62%
Arkansas,Catchment Area 3,10.22%,26.33%,8.26%,10.90%
Arkansas,Catchment Area 4,10.56%,*,7.10%,9.32%
Arkansas,Catchment Area 5,11.44%,26.77%,7.83%,10.89%
Arkansas,Catchment Area 6,11.23%,*,10.13%,13.26%
Arkansas,Catchment Area 7,10.41%,*,7.58%,10.12%
Arkansas,Catchment Area 8,13.82%,*,11.91%,14.89%
California,California,13.95%,33.85%,12.93%,16.07%
California,Region 1R,17.66%,*,18.82%,21.89%
California,Region 2R,15.47%,*,13.03%,17.20%
California,Region 3R (Sacramento),15.05%,36.02%,14.49%,17.64%
California,Region 4R,17.42%,*,14.98%,17.98%
California,Region 5R (San Francisco),*,*,22.85%,25.09%
California,Region 6 (Santa Clara),13.11%,31.93%,11.02%,13.72%
California,Region 7R (Contra Costa),15.36%,40.43%,13.43%,17.00%
California,Region 8R (Alameda),14.90%,39.03%,14.79%,18.01%
California,Region 9R (San Mateo),16.98%,*,13.20%,15.96%
California,Region 10,15.95%,*,12.76%,17.10%
California,Region 11 (Los Angeles),12.90%,32.24%,12.58%,15.54%
California,LA SPA 1 and 5,14.45%,*,15.35%,18.81%
California,LA SPA 2,13.03%,32.77%,12.63%,15.43%
California,LA SPA 3,10.02%,25.86%,8.31%,10.90%
California,LA SPA 4,12.92%,*,18.04%,20.19%
California,LA SPA 6,13.75%,*,11.80%,15.89%
California,LA SPA 7,12.92%,*,9.12%,12.55%
California,LA SPA 8,14.38%,35.65%,14.32%,17.37%
California,Region 12R,13.68%,*,11.81%,14.73%
California,Regions 13 and 19R,13.25%,28.09%,10.37%,13.31%
California,Region 14 (Orange),12.56%,33.20%,10.52%,13.80%
California,Region 15R (Fresno),13.08%,29.70%,10.53%,13.93%
California,Region 16R (San Diego),14.69%,37.88%,14.34%,18.01%
California,Region 17R,11.42%,26.27%,10.89%,13.59%
California,Region 18R (San Bernardino),13.90%,27.72%,10.84%,13.77%
California,Region 20R,12.98%,*,10.67%,13.59%
California,Region 21R,17.64%,*,16.32%,20.83%
Colorado,Colorado,17.49%,45.71%,19.50%,23.27%
Colorado,Region 1,18.71%,*,19.51%,23.94%
Colorado,Region 2,16.60%,*,16.22%,19.85%
Colorado,Region 3,17.01%,42.42%,16.16%,19.81%
Colorado,Region 4,15.68%,*,16.38%,19.57%
Colorado,Region 5,17.09%,*,28.07%,30.81%
Colorado,Region 6,19.43%,*,22.85%,26.97%
Colorado,Region 7,16.72%,*,16.69%,20.93%
Connecticut,Connecticut,14.72%,42.16%,10.56%,14.97%
Connecticut,Eastern,15.87%,*,12.31%,18.24%
Connecticut,North Central,14.74%,42.50%,11.33%,15.50%
Connecticut,Northwestern,14.88%,*,10.28%,13.93%
Connecticut,South Central,13.83%,42.60%,9.75%,14.40%
Connecticut,Southwest,14.85%,*,9.62%,13.74%
Delaware,Delaware,13.90%,36.96%,10.07%,13.71%
Delaware,Kent,14.70%,*,9.56%,13.49%
Delaware,New Castle (excluding Wilmington City),13.13%,37.53%,9.44%,13.51%
Delaware,Sussex,13.85%,*,9.03%,11.64%
Delaware,Wilmington City,17.13%,*,18.26%,21.47%
District of Columbia,District of Columbia,15.01%,48.70%,19.83%,24.80%
District of Columbia,Ward 1,*,*,27.95%,33.16%
District of Columbia,Ward 2,*,*,23.93%,31.26%
District of Columbia,Ward 3,12.47%,*,14.17%,19.36%
District of Columbia,Ward 4,13.82%,*,15.99%,18.82%
District of Columbia,Ward 5,17.11%,*,19.97%,25.24%
District of Columbia,Ward 6,12.56%,42.82%,19.08%,22.01%
District of Columbia,Ward 7,15.68%,*,18.80%,23.08%
District of Columbia,Ward 8,16.11%,*,19.06%,24.65%
Florida,Florida,13.27%,33.13%,9.76%,12.68%
Florida,Broward (Circuit 17),12.43%,33.51%,10.83%,13.56%
Florida,Central I,12.62%,35.32%,10.66%,14.19%
Florida,Circuit 9,11.34%,34.01%,10.61%,14.31%
Florida,Circuit 18,14.69%,37.82%,10.74%,14.01%
Florida,Central II,14.10%,32.56%,9.26%,11.86%
Florida,Circuit 6,15.44%,33.58%,10.59%,12.90%
Florida,Circuit 10,12.27%,28.09%,8.27%,10.74%
Florida,Circuit 12,14.41%,*,8.07%,10.30%
Florida,Circuit 13 (Hillsborough),14.50%,35.58%,10.65%,14.13%
Florida,Circuit 20,13.14%,*,7.68%,9.98%
Florida,Northeast,14.67%,35.51%,10.80%,13.94%
Florida,Circuit 4,13.31%,35.37%,11.53%,14.79%
Florida,Circuit 5,15.49%,*,9.81%,12.16%
Florida,Circuit 7,15.88%,*,10.62%,13.46%
Florida,"Circuit 8 plus Columbia, Dixie, Hamilton, Lafayette, and Suwannee",14.36%,*,11.82%,16.61%
Florida,Northwest,15.42%,39.29%,11.66%,16.09%
Florida,Circuit 1,14.90%,35.27%,10.26%,13.82%
Florida,Circuit 2 plus Madison and Taylor,16.00%,44.95%,13.79%,20.42%
Florida,Circuit 14,*,*,12.03%,15.00%
Florida,South (Circuits 11 and 16),9.97%,24.22%,6.85%,9.08%
Florida,Southeast,13.13%,33.35%,9.76%,12.34%
Florida,Circuit 15 (Palm Beach),12.78%,33.42%,9.84%,12.45%
Florida,Circuit 19,13.88%,*,9.59%,12.10%
Georgia,Georgia,10.92%,30.07%,9.36%,12.43%
Georgia,Region 1,10.46%,29.04%,8.22%,10.97%
Georgia,Region 2,10.19%,27.72%,8.32%,11.53%
Georgia,Region 3,12.06%,36.47%,12.17%,15.65%
Georgia,Region 4,10.64%,*,8.59%,11.61%
Georgia,Region 5,10.01%,25.21%,8.25%,11.06%
Georgia,Region 6,10.85%,27.00%,7.63%,10.54%
Hawaii,Hawaii,13.42%,27.05%,10.52%,12.67%
Hawaii,Hawaii Island,13.62%,*,14.77%,16.40%
Hawaii,Honolulu,12.59%,25.91%,8.74%,11.05%
Hawaii,Kauai,17.86%,*,16.04%,18.33%
Hawaii,Maui,16.12%,*,14.11%,15.98%
Idaho,Idaho,13.43%,26.69%,9.20%,11.74%
Idaho,Region 1,16.59%,*,9.87%,12.39%
Idaho,Region 2,*,*,10.12%,13.73%
Idaho,Region 3,11.27%,22.12%,6.84%,9.04%
Idaho,Region 4,15.77%,35.25%,12.45%,15.44%
Idaho,Region 5,12.85%,*,7.65%,9.61%
Idaho,Region 6,12.63%,*,8.45%,10.91%
Idaho,Region 7,9.80%,17.90%,5.63%,7.90%
Illinois,Illinois,11.86%,31.72%,9.12%,12.33%
Illinois,Region 1 (Cook),11.93%,33.51%,10.48%,13.66%
Illinois,Region 1.1 (Far North Side),*,*,11.92%,14.07%
Illinois,Region 1.2 (Northwest Side),*,*,9.21%,11.88%
Illinois,Region 1.3 (North Central Side),*,*,16.69%,19.70%
Illinois,Region 1.4 (West Side),12.30%,*,14.68%,17.69%
Illinois,Region 1.5 (South Side),14.97%,*,13.37%,17.54%
Illinois,Region 1.6 (Southwest Side),11.17%,*,7.95%,11.53%
Illinois,Region 1.7 (Suburban Cook),11.50%,32.22%,7.92%,11.05%
Illinois,Region 2,11.79%,29.90%,7.72%,10.89%
Illinois,Region 2a (DuPage),12.14%,32.27%,8.58%,11.74%
Illinois,Region 2b,11.54%,29.06%,7.36%,10.52%
Illinois,Region 2c (Winnebago),12.48%,*,8.86%,11.86%
Illinois,Region 2d,11.95%,*,7.13%,10.43%
Illinois,Region 3,13.01%,33.39%,9.55%,13.48%
Illinois,Region 3a (Champaign),*,*,11.89%,19.80%
Illinois,Region 3b,12.89%,31.21%,9.21%,12.41%
Illinois,Region 4,10.95%,29.03%,7.59%,10.50%
Illinois,Region 4a (Sangamon),*,*,10.43%,13.47%
Illinois,Region 4b,10.57%,*,6.77%,9.65%
Illinois,Region 5,11.19%,29.75%,8.44%,11.36%
Illinois,Region 5a,10.60%,*,8.13%,11.15%
Illinois,Region 5b,11.71%,29.24%,8.69%,11.52%
Indiana,Indiana,13.68%,33.41%,10.32%,13.79%
Indiana,Central,13.82%,31.98%,11.52%,14.36%
Indiana,East,15.01%,*,11.77%,16.03%
Indiana,North Central,12.41%,*,8.42%,11.45%
Indiana,Northeast,13.72%,*,8.99%,12.16%
Indiana,Northwest,13.72%,*,9.99%,13.26%
Indiana,Southeast,13.57%,*,9.29%,12.23%
Indiana,Southwest,*,*,9.23%,11.95%
Indiana,West,14.55%,*,12.15%,18.26%
Iowa,Iowa,9.59%,26.46%,6.10%,9.20%
Iowa,Central,9.92%,25.05%,6.70%,9.32%
Iowa,North Central,9.96%,*,5.86%,10.06%
Iowa,Northeast,9.52%,27.32%,6.09%,9.32%
Iowa,Northwest,9.79%,*,5.46%,7.99%
Iowa,Southeast,8.98%,27.59%,6.41%,9.80%
Iowa,Southwest,9.69%,*,5.69%,8.26%
Kansas,Kansas,12.63%,27.92%,8.48%,11.47%
Kansas,Northeast,12.39%,30.05%,8.89%,12.32%
Kansas,Northwest and North Central,13.60%,*,7.25%,9.89%
Kansas,South Central,12.91%,25.68%,8.48%,10.99%
Kansas,Southeast,13.22%,*,8.36%,11.06%
Kansas,Southwest,11.58%,*,6.82%,9.18%
Kentucky,Kentucky,11.33%,29.65%,10.01%,12.79%
Kentucky,"Adanta, Cumberland River, and Lifeskills",10.45%,*,8.58%,11.10%
Kentucky,"Bluegrass, Comprehend, and North Key",11.36%,32.74%,10.79%,14.07%
Kentucky,Centerstone,12.80%,33.52%,11.43%,14.38%
Kentucky,Communicare and River Valley,10.96%,*,9.26%,11.51%
Kentucky,Four Rivers and Pennyroyal,10.74%,*,8.02%,10.44%
Kentucky,"Kentucky River, Mountain, and Pathways",10.32%,*,9.69%,12.11%
Louisiana,Louisiana,9.79%,28.38%,8.48%,11.41%
Louisiana,Regions 1 and 10,10.77%,35.26%,11.42%,14.71%
Louisiana,Region 1,11.41%,*,13.80%,17.71%
Louisiana,Region 10 (Jefferson),10.10%,*,8.91%,11.42%
Louisiana,Regions 2 and 9,10.67%,33.44%,8.74%,12.51%
Louisiana,Region 3,8.50%,*,6.74%,8.98%
Louisiana,"Regions 4, 5, and 6",8.39%,20.82%,6.92%,8.96%
Louisiana,Regions 7 and 8,10.20%,27.06%,7.95%,10.87%
Maine,Maine,16.91%,42.59%,17.69%,20.67%
Maine,Aroostook/Downeast,16.26%,39.77%,16.91%,19.41%
Maine,Aroostook,15.59%,*,15.36%,17.79%
Maine,Downeast,*,*,18.14%,20.70%
Maine,Central,16.75%,*,17.72%,20.57%
Maine,Cumberland,16.79%,46.39%,18.60%,22.01%
Maine,Midcoast,17.47%,*,17.72%,20.05%
Maine,Penquis,16.35%,*,17.45%,20.75%
Maine,Western,17.41%,*,18.24%,21.33%
Maine,York,17.23%,*,16.70%,19.62%
Maryland,Maryland,14.52%,39.60%,11.39%,15.24%
Maryland,Anne Arundel,15.30%,*,11.35%,15.30%
Maryland,Baltimore City,13.89%,*,18.01%,21.57%
Maryland,Baltimore County,14.88%,*,10.68%,14.42%
Maryland,Montgomery,12.78%,*,9.52%,12.55%
Maryland,North Central,12.90%,*,8.50%,12.08%
Maryland,Northeast,17.10%,*,11.67%,15.51%
Maryland,Prince George's,16.45%,*,13.27%,18.45%
Maryland,South,13.13%,*,8.92%,12.71%
Maryland,West,14.99%,*,10.44%,14.00%
Massachusetts,Massachusetts,15.31%,42.37%,14.77%,18.87%
Massachusetts,Boston,12.53%,*,18.18%,23.70%
Massachusetts,Central,15.38%,*,13.85%,17.31%
Massachusetts,Metrowest,15.21%,45.21%,14.93%,19.03%
Massachusetts,Northeast,15.56%,39.90%,13.23%,16.78%
Massachusetts,Southeast,15.79%,*,14.05%,17.37%
Massachusetts,Western,16.32%,*,15.77%,20.72%
Michigan,Michigan,14.24%,34.72%,12.32%,15.59%
Michigan,Region 1,14.25%,*,11.93%,14.98%
Michigan,Region 2,13.48%,*,9.45%,11.60%
Michigan,Region 3,15.35%,36.18%,12.27%,15.92%
Michigan,Region 4,15.41%,33.63%,11.60%,14.92%
Michigan,Region 5,13.00%,33.52%,11.61%,15.33%
Michigan,Region 6,13.76%,37.59%,12.61%,16.77%
Michigan,Region 7,13.90%,34.72%,14.17%,17.24%
Michigan,Region 8,13.92%,34.19%,11.62%,14.41%
Michigan,Region 9,15.24%,36.96%,13.33%,16.32%
Michigan,Region 10,14.80%,35.03%,12.40%,15.46%
Minnesota,Minnesota,12.37%,32.62%,9.58%,12.76%
Minnesota,Regions 1 and 2,12.29%,*,9.55%,12.46%
Minnesota,Region 1,*,*,8.30%,10.90%
Minnesota,Region 2,12.64%,*,10.29%,13.39%
Minnesota,Regions 3 and 4,12.78%,29.85%,8.39%,11.44%
Minnesota,Region 3,13.69%,*,8.59%,11.63%
Minnesota,Region 4,12.35%,*,8.27%,11.34%
Minnesota,Regions 5 and 6,12.35%,29.02%,7.99%,11.06%
Minnesota,Region 5,11.65%,*,7.56%,10.55%
Minnesota,Region 6,13.03%,*,8.44%,11.57%
Minnesota,Region 7,12.26%,35.07%,10.50%,13.82%
Minnesota,Region 7A (Hennepin),12.81%,40.65%,12.51%,16.21%
Minnesota,Region 7B (Ramsey),10.17%,*,10.43%,13.64%
Minnesota,Region 7C,12.57%,31.60%,8.47%,11.45%
Mississippi,Mississippi,9.55%,23.52%,6.60%,9.17%
Mississippi,Region 1,10.54%,26.47%,7.12%,10.05%
Mississippi,Region 2,9.40%,*,7.88%,10.10%
Mississippi,Region 3,8.11%,20.46%,5.26%,7.85%
Mississippi,Region 4,9.60%,25.55%,6.54%,9.39%
Mississippi,Region 5,9.19%,*,7.60%,9.85%
Mississippi,Region 6,9.43%,*,6.41%,8.86%
Mississippi,Region 7,9.62%,*,5.85%,8.08%
Missouri,Missouri,12.11%,32.44%,10.21%,13.39%
Missouri,Central,10.34%,*,8.20%,12.09%
Missouri,Eastern,13.45%,34.76%,11.39%,14.56%
Missouri,Eastern (St. Louis City and County),13.07%,36.12%,12.79%,16.00%
Missouri,Eastern (excluding St. Louis),13.98%,*,9.00%,12.08%
Missouri,Northwest,13.09%,36.14%,11.49%,14.92%
